restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g274707-d4768625,El Emir Bistrot,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Namesti republiky 1 Palladium, Prague 11000 Czech Republic",50.089027,14.429049,Claimed,Certificate of Excellence 2015,#1160 of 4632 Restaurants in Prague,#1381 of 6176 places to eat in Prague,"Mid-range, Lebanese, Mediterranean, Middle Eastern",€€-€€€,€2-€13,,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Halal, Vegan Options",,Y,Y,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}",7.0,77.0,7.0,3.5,167.0,English,93.0,31.0,25.0,17.0,9.0,11.0,4.0,3.5,3.5,3.5,
g274707-d4768626,Na Kovarne,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nachodska 126/215, Prague 193 00 Czech Republic",50.11527,14.61218,Unclaimed,,,,"European, Czech",,,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,85.0,7.0,,,,,,,,,,,,,,
g274707-d4768632,Na Ty Louce Zeleny,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Zelená Louka 451/1, Prague Czech Republic",50.02392,14.466147,Unclaimed,,#991 of 4632 Restaurants in Prague,#1174 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner","European, Czech, Central European",,"Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Table Service, Takeout, Highchairs Available",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": [""12:00-21:00""]}",7.0,82.0,7.0,4.5,54.0,English,12.0,4.0,5.0,2.0,1.0,0.0,4.0,4.0,4.5,,
g274707-d4768634,U Kmotra,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Vinici 272/2, Prague Czech Republic",50.07888,14.4908,Unclaimed,,#1792 of 4632 Restaurants in Prague,#2149 of 6176 places to eat in Prague,"Mid-range, Italian, Pizza",€€-€€€,,"Lunch, Dinner","Italian, Pizza",,Reservations,N,N,N,"{""Mon"": [""10:30-22:00""], ""Tue"": [""10:30-22:00""], ""Wed"": [""10:30-22:00""], ""Thu"": [""10:30-22:00""], ""Fri"": [""10:30-22:00""], ""Sat"": [], ""Sun"": []}",5.0,57.5,5.0,4.5,12.0,English,4.0,3.0,1.0,0.0,0.0,0.0,,,,,
g274707-d4768636,Na Valentince,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Valentince 6, Prague Czech Republic",50.06751,14.4079,Unclaimed,,#2785 of 4632 Restaurants in Prague,#3276 of 6176 places to eat in Prague,"Cheap Eats, European, Czech",€,,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [], ""Sun"": []}",5.0,55.0,5.0,4.5,5.0,All languages,5.0,2.0,3.0,0.0,0.0,0.0,,,,,
g274707-d4768640,Bellagio,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Namesti Pratelstvi 5, Prague Czech Republic",50.04477,14.51836,Unclaimed,,#4081 of 4632 Restaurants in Prague,#4714 of 6176 places to eat in Prague,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-23:00""], ""Sat"": [""10:00-23:00""], ""Sun"": [""10:00-23:00""]}",7.0,87.0,7.0,3.0,2.0,English,1.0,0.0,0.0,1.0,0.0,0.0,,,,,
g274707-d4768645,Drevak,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nadrazni 9, Prague Czech Republic",50.06647,14.40737,Unclaimed,,,,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,,,,,,,,,,,,,,
g274707-d4768646,Melina,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Ulehli 1274/3, Prague Czech Republic",50.04676,14.46279,Unclaimed,,#3406 of 4632 Restaurants in Prague,#3946 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""11:00-23:30""], ""Tue"": [""11:00-23:30""], ""Wed"": [""11:00-23:30""], ""Thu"": [""11:00-23:30""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-23:30""], ""Sun"": [""11:00-23:00""]}",7.0,87.5,7.0,3.5,6.0,English,3.0,2.0,0.0,0.0,1.0,0.0,,,,,
g274707-d4768647,U dvou smrku,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nademlejnska 600/1, Prague Czech Republic",50.10105,14.52491,Unclaimed,,#3518 of 4632 Restaurants in Prague,#4072 of 6176 places to eat in Prague,"European, Czech",,,,"European, Czech",,,N,N,N,,,,,3.5,7.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d4768648,Hotel Barcelo Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Celetna 29, Prague Czech Republic",50.087345,14.426301,Unclaimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#1006 of 4632 Restaurants in Prague,#1192 of 6176 places to eat in Prague,"Mid-range, European, Central European",€€-€€€,,"Breakfast, Lunch, Dinner","Central European, European",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,4.0,83.0,English,31.0,11.0,11.0,4.0,4.0,1.0,4.0,4.0,3.5,4.0,
g274707-d4768656,U Hofmanu,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nad Sutkou 16, Prague 180 00 Czech Republic",50.122814,14.454328,Unclaimed,,#1464 of 4632 Restaurants in Prague,#1753 of 6176 places to eat in Prague,"Cheap Eats, Steakhouse, Bar, European",€,,"Lunch, Dinner","Steakhouse, European, Czech, Bar",,"Seating, Serves Alcohol, Table Service, Reservations",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,3.5,73.0,English,15.0,2.0,3.0,4.0,1.0,5.0,4.0,4.0,4.5,,
g274707-d4768657,Na Pesine Cukrarna,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Spořická 314/42, Prague 184 00 Czech Republic",49.96493,14.74235,Unclaimed,,#1990 of 4632 Restaurants in Prague,#2379 of 6176 places to eat in Prague,Cafe,,,,Cafe,,,N,N,N,,,,,5.0,8.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d4768660,McDonald's,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Prikope, 852/10, Prague Czech Republic",50.08513,14.42478,Unclaimed,,#3565 of 4632 Restaurants in Prague,#4122 of 6176 places to eat in Prague,"Cheap Eats, Fast food",€,,"Breakfast, Lunch, Dinner",Fast food,,"Takeout, Wheelchair Accessible",N,N,N,"{""Mon"": [""00:00-23:59""], ""Tue"": [""00:00-23:59""], ""Wed"": [""00:00-23:59""], ""Thu"": [""00:00-23:59""], ""Fri"": [""00:00-23:59""], ""Sat"": [""00:00-23:59""], ""Sun"": [""00:00-23:59""]}",7.0,167.88333333333333,7.0,3.0,20.0,English,6.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,3.5,,
g274707-d4768661,Rybarna,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Dvorcich 184/3, Prague Czech Republic",50.03944,14.43722,Unclaimed,,#1642 of 4632 Restaurants in Prague,#1972 of 6176 places to eat in Prague,"Mid-range, Seafood, Mediterranean",€€-€€€,,Lunch,"Seafood, Mediterranean",,Reservations,N,N,N,"{""Mon"": [""11:00-16:00""], ""Tue"": [""11:00-16:00""], ""Wed"": [""11:00-16:00""], ""Thu"": [""11:00-16:00""], ""Fri"": [""11:00-16:00""], ""Sat"": [], ""Sun"": []}",5.0,25.0,5.0,4.5,19.0,English,12.0,7.0,3.0,1.0,1.0,0.0,4.5,4.0,4.5,,
g274707-d4768666,KFC,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Porici 46, Prague 110 00 Czech Republic",50.090225,14.436502,Unclaimed,,#66 of 119 Quick Bites in Prague,#1991 of 6176 places to eat in Prague,"Cheap Eats, Quick Bites, American, Fast food",€,,,"American, Fast food",,"Takeout, Seating",N,N,N,"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""09:00-22:00""], ""Sun"": [""09:00-22:00""]}",7.0,96.0,7.0,3.5,91.0,English,23.0,4.0,7.0,6.0,3.0,3.0,3.5,3.0,3.5,,
g274707-d4768668,Na Louzi,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na louzhi 867/14, Prague 101 00 Czech Republic",50.06638,14.45839,Unclaimed,,#2129 of 4632 Restaurants in Prague,#2540 of 6176 places to eat in Prague,"Cheap Eats, European, Czech",€,,"Lunch, Dinner","Czech, European",,,N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": []}",6.0,72.0,6.0,4.5,8.0,English,2.0,2.0,0.0,0.0,0.0,0.0,,,,,
g274707-d4768669,Restaurace Rozmaryn,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Namesti Osvoboditelu 26, Prague Czech Republic",49.983185,14.359662,Unclaimed,,#1625 of 4632 Restaurants in Prague,#1948 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,,,"European, Czech",,Reservations,N,N,N,,,,,4.0,20.0,English,5.0,3.0,2.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g274707-d4768670,Jihoceska basta,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Pankraci 1600, Prague Czech Republic",50.05282,14.43811,Unclaimed,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d4768671,Zavadilka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Zavadilce 8, Prague Czech Republic",50.10986,14.3795,Unclaimed,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d4768674,Harry's restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Pankraci 109/1337, Prague 140 00 Czech Republic",50.05338,14.43771,Claimed,,#1679 of 4632 Restaurants in Prague,#2018 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,,"Lunch, Dinner","Bar, European, Czech, Pub",,"Takeout, Reservations, Seating, Parking Available, Street Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",N,N,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-23:00""], ""Sat"": [], ""Sun"": []}",5.0,62.5,5.0,4.0,37.0,English,18.0,3.0,10.0,4.0,1.0,0.0,4.5,4.0,4.0,,
g274707-d4768675,KFC,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Pankraci 1727 86 Prague 4, Prague 14000 Czech Republic",50.051144,14.439091,Claimed,,#2638 of 4632 Restaurants in Prague,#3115 of 6176 places to eat in Prague,"Cheap Eats, American, International",€,,"Lunch, Dinner","American, International",,,N,N,N,"{""Mon"": [""11:00-19:00""], ""Tue"": [""11:00-19:00""], ""Wed"": [""11:00-19:00""], ""Thu"": [""11:00-19:00""], ""Fri"": [""11:00-19:00""], ""Sat"": [""11:00-19:00""], ""Sun"": [""11:00-19:00""]}",7.0,56.0,7.0,4.0,8.0,English,2.0,0.0,0.0,2.0,0.0,0.0,,,,,
g274707-d4768676,Na Vaclavce 32,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Vaclavce 1079/32, Prague 150 00 Czech Republic",50.06538,14.39407,Claimed,,#3028 of 4632 Restaurants in Prague,#3539 of 6176 places to eat in Prague,"Mid-range, Italian, European, Czech",€€-€€€,€4-€15,"Lunch, Dinner","Czech, Italian, European, Central European",,,N,N,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""12:00-22:00""], ""Sun"": [""12:00-22:00""]}",7.0,75.0,7.0,4.0,22.0,English,5.0,2.0,0.0,2.0,1.0,0.0,4.0,4.0,3.5,,
g274707-d4768679,Restaurant La Palma,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Hrazi 32, Prague 18000 Czech Republic",50.10572,14.4764,Claimed,,#3200 of 4632 Restaurants in Prague,#3727 of 6176 places to eat in Prague,"Mid-range, Italian, Pizza",€€-€€€,,"Lunch, Dinner, Drinks","Italian, Pizza",,"Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Wine and Beer, Digital Payments, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,3.0,27.0,English,7.0,2.0,2.0,1.0,0.0,2.0,3.5,3.5,3.5,,
g274707-d4768684,Divadelni Restaurace Jezerka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Jezerce 2a/1451, Prague Czech Republic",50.05851,14.44427,Unclaimed,,#3367 of 4632 Restaurants in Prague,#3906 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,,Lunch,"European, Czech",,,N,N,N,,,,,3.0,22.0,English,6.0,2.0,2.0,0.0,0.0,2.0,3.5,3.5,3.0,,
g274707-d4768686,Stara dobra,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Kovarne 8, Prague Czech Republic",50.06872,14.45442,Unclaimed,,#4081 of 4632 Restaurants in Prague,#4700 of 6176 places to eat in Prague,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""14:00-00:00""], ""Tue"": [""14:00-00:00""], ""Wed"": [""14:00-00:00""], ""Thu"": [""14:00-00:00""], ""Fri"": [""14:00-00:00""], ""Sat"": [""14:00-00:00""], ""Sun"": [""14:00-00:00""]}",7.0,70.0,7.0,3.0,1.0,English,1.0,0.0,0.0,1.0,0.0,0.0,,,,,
g274707-d4768687,Karlova pekarna,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na pankraci 86, Prague Czech Republic",50.05104,14.43912,Unclaimed,,#2888 of 4632 Restaurants in Prague,#3383 of 6176 places to eat in Prague,Cheap Eats,€,,"Breakfast, Lunch, Dinner",,,,N,N,N,"{""Mon"": [""07:30-21:00""], ""Tue"": [""07:30-21:00""], ""Wed"": [""07:30-21:00""], ""Thu"": [""07:30-21:00""], ""Fri"": [""07:30-21:00""], ""Sat"": [""09:00-21:00""], ""Sun"": [""09:00-21:00""]}",7.0,91.5,7.0,4.0,11.0,All languages,11.0,4.0,4.0,1.0,1.0,1.0,4.0,3.5,4.0,,
g274707-d4768689,Vladar,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Dvorcich 144/9, Prague 140 00 Czech Republic",50.03944,14.43722,Unclaimed,,,,"European, Czech",,,,"European, Czech",,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d4768692,U Drevaku,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Sutce 15a, Prague Czech Republic",50.12364,14.44539,Unclaimed,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d4768695,Spejchar,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Chvalske tvrzi 858, Prague Czech Republic",50.11156,14.59634,Unclaimed,,#3519 of 4632 Restaurants in Prague,#4073 of 6176 places to eat in Prague,Mid-range,€€-€€€,,,,,,N,N,N,,,,,3.5,4.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d4768698,Mattes restaurace,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Strzi 9, Prague 140 00 Czech Republic",50.0412,14.438367,Unclaimed,Certificate of Excellence 2017,#724 of 4632 Restaurants in Prague,#857 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner","European, Czech, Central European, Hungarian",,"Reservations, Seating, Full Bar, Table Service, Takeout, Highchairs Available",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""12:00-23:00""], ""Sun"": [""12:00-23:00""]}",7.0,82.0,7.0,4.5,52.0,English,13.0,6.0,6.0,0.0,0.0,1.0,4.0,4.0,4.0,,
g274707-d4768700,A Plus restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Florenci 1413/33, Prague 110 00 Czech Republic",50.090237,14.437353,Unclaimed,,#2725 of 4632 Restaurants in Prague,#3212 of 6176 places to eat in Prague,"Cheap Eats, European, Czech",€,€3-€9,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""11:00-12:00""], ""Tue"": [""11:00-12:00""], ""Wed"": [""11:00-12:00""], ""Thu"": [""11:00-12:00""], ""Fri"": [""11:00-12:00""], ""Sat"": [""11:00-12:00""], ""Sun"": [""11:00-12:00""]}",7.0,7.0,7.0,3.5,44.0,English,19.0,5.0,4.0,1.0,6.0,3.0,3.5,3.5,4.0,,
g274707-d4768703,Grill bar U Sama,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Mukarovskeho 1985, Prague Czech Republic",50.04487,14.32192,Unclaimed,,#4380 of 4632 Restaurants in Prague,#4994 of 6176 places to eat in Prague,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""15:00-03:00""], ""Tue"": [""15:00-03:00""], ""Wed"": [""15:00-03:00""], ""Thu"": [""15:00-03:00""], ""Fri"": [""15:00-05:00""], ""Sat"": [""15:00-05:00""], ""Sun"": [""15:00-03:00""]}",7.0,88.0,7.0,2.0,2.0,All languages,2.0,0.0,0.0,1.0,0.0,1.0,,,,,
g274707-d4768706,Restaurace Na Hanspaulce,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na pískách 1815/29A, Prague 160 00 Czech Republic",50.104183,14.372835,Unclaimed,,#2269 of 4632 Restaurants in Prague,#2706 of 6176 places to eat in Prague,"Cheap Eats, European, Czech",€,,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""11:00-23:30""], ""Tue"": [""11:00-23:30""], ""Wed"": [""11:00-23:30""], ""Thu"": [""11:00-23:30""], ""Fri"": [""11:00-23:30""], ""Sat"": [""11:00-23:30""], ""Sun"": [""11:00-23:30""]}",7.0,87.5,7.0,4.0,17.0,English,6.0,3.0,1.0,1.0,1.0,0.0,,,,,
g274707-d4768707,U Brabcu,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na vyhlidce 2/21, Prague Czech Republic",50.11793,14.48685,Unclaimed,,#3338 of 4632 Restaurants in Prague,#3873 of 6176 places to eat in Prague,Cheap Eats,€,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-23:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-22:30""]}",7.0,87.0,7.0,3.5,9.0,English,3.0,1.0,0.0,1.0,1.0,0.0,,,,,
g274707-d4768708,Restaurant Zeleny dvur,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Hlavni 23 Brezineves, Prague 182 00 Czech Republic",50.16366,14.48262,Claimed,,#1162 of 4632 Restaurants in Prague,#1383 of 6176 places to eat in Prague,"Mid-range, International, European, Czech",€€-€€€,,"Lunch, Dinner","International, European, Czech",,"Takeout, Reservations, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards",N,N,N,"{""Mon"": [""11:00-22:30""], ""Tue"": [""11:00-22:30""], ""Wed"": [""11:00-22:30""], ""Thu"": [""11:00-22:30""], ""Fri"": [""11:00-22:30""], ""Sat"": [""11:00-22:30""], ""Sun"": [""11:00-21:30""]}",7.0,79.5,7.0,4.5,31.0,English,5.0,2.0,3.0,0.0,0.0,0.0,4.0,4.5,4.0,,
g274707-d4768713,Polevka Je Grund,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Myslikova 172/29, Prague 110 00 Czech Republic",50.07766,14.41689,Unclaimed,,#2924 of 4632 Restaurants in Prague,#3423 of 6176 places to eat in Prague,"Cheap Eats, Fast food",€,,"Breakfast, Lunch, Dinner",Fast food,,,N,N,N,"{""Mon"": [""08:00-18:00""], ""Tue"": [""08:00-18:00""], ""Wed"": [""08:00-18:00""], ""Thu"": [""08:00-18:00""], ""Fri"": [""08:00-18:00""], ""Sat"": [], ""Sun"": []}",5.0,50.0,5.0,4.5,4.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d4768717,Stella Cafe Ristorante,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Moskevska, 363/33, Prague Czech Republic",50.0691,14.454972,Unclaimed,,#1903 of 4632 Restaurants in Prague,#2275 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,,"Lunch, Dinner","European, Bar, Pub, Czech, Central European",,"Seating, Serves Alcohol, Reservations",N,N,N,"{""Mon"": [""09:30-23:30""], ""Tue"": [""09:30-23:30""], ""Wed"": [""09:30-23:30""], ""Thu"": [""09:30-23:30""], ""Fri"": [""09:30-23:30""], ""Sat"": [""10:00-23:30""], ""Sun"": [""10:00-23:30""]}",7.0,97.0,7.0,3.5,38.0,English,19.0,6.0,8.0,1.0,2.0,2.0,3.5,4.0,3.5,,
g274707-d4768718,Fantomas,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Namesti Na Strazi 2/520, Prague 180 00 Czech Republic",50.11614,14.46894,Unclaimed,,#3408 of 4632 Restaurants in Prague,#3948 of 6176 places to eat in Prague,"European, Czech",,,"Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""11:00-03:00""], ""Tue"": [""11:00-03:00""], ""Wed"": [""11:00-03:00""], ""Thu"": [""11:00-03:00""], ""Fri"": [""11:00-03:00""], ""Sat"": [""13:00-03:00""], ""Sun"": [""13:00-03:00""]}",7.0,108.0,7.0,4.0,4.0,All languages,4.0,2.0,1.0,0.0,1.0,0.0,,,,,
g274707-d4768720,McDonald's,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Mostecka 21, Prague Czech Republic",50.087563,14.405,Unclaimed,,#115 of 119 Quick Bites in Prague,#4988 of 6176 places to eat in Prague,"Cheap Eats, Quick Bites, American, Fast food",€,,"Lunch, Breakfast","Fast food, American",,"Takeout, Seating",N,N,N,"{""Mon"": [""07:00-01:00""], ""Tue"": [""07:00-01:00""], ""Wed"": [""07:00-01:00""], ""Thu"": [""07:00-01:00""], ""Fri"": [""07:00-02:00""], ""Sat"": [""07:00-02:00""], ""Sun"": [""07:00-01:00""]}",7.0,128.0,7.0,3.0,78.0,English,28.0,5.0,4.0,8.0,3.0,8.0,3.0,3.0,3.0,2.0,
g274707-d4768724,Nonstop Jidelna Marjanka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Belidle 38, Prague Czech Republic",50.071682,14.405062,Unclaimed,,#1388 of 4632 Restaurants in Prague,#1661 of 6176 places to eat in Prague,"Cheap Eats, European, Czech",€,,"Breakfast, Lunch, Dinner","European, Czech",,,N,N,N,"{""Mon"": [""00:00-23:59""], ""Tue"": [""00:00-23:59""], ""Wed"": [""00:00-23:59""], ""Thu"": [""00:00-23:59""], ""Fri"": [""00:00-23:59""], ""Sat"": [""00:00-23:59""], ""Sun"": [""00:00-23:59""]}",7.0,167.88333333333333,7.0,4.5,21.0,English,7.0,4.0,2.0,0.0,1.0,0.0,,,,,
